Time,Open,High,Low,Close,Volume,Day,Month,Year,Hour
01.01.2013 01:00:00.000,1.31975,1.32991,1.3157,1.31833,174395.5469,01,01,2013,01
02.01.2013 01:00:00.000,1.31836,1.31887,1.3022200000000002,1.30243,173935.4375,02,01,2013,01
03.01.2013 01:00:00.000,1.3024,1.30892,1.2997100000000001,1.3067799999999998,163991.1094,03,01,2013,01
04.01.2013 01:00:00.000,1.3067799999999998,1.3067799999999998,1.3067799999999998,1.3067799999999998,0.0,04,01,2013,01
05.01.2013 01:00:00.000,1.30745,1.30792,1.30655,1.3067600000000001,4326.2202,05,01,2013,01
06.01.2013 01:00:00.000,1.3067799999999998,1.31275,1.30165,1.31236,164850.0,06,01,2013,01
07.01.2013 01:00:00.000,1.31236,1.3139299999999998,1.30566,1.30825,163429.7813,07,01,2013,01
08.01.2013 01:00:00.000,1.3082200000000002,1.30956,1.30362,1.30531,159971.0781,08,01,2013,01
09.01.2013 01:00:00.000,1.3053,1.3279100000000001,1.30385,1.32722,190490.7969,09,01,2013,01
10.01.2013 01:00:00.000,1.32723,1.33653,1.32479,1.3342399999999999,182030.9063,10,01,2013,01
11.01.2013 01:00:00.000,1.3342399999999999,1.3342399999999999,1.3342399999999999,1.3342399999999999,0.0,11,01,2013,01
12.01.2013 01:00:00.000,1.33605,1.33685,1.3349799999999998,1.33579,8424.2402,12,01,2013,01
13.01.2013 01:00:00.000,1.33579,1.34037,1.33356,1.33769,156558.5938,13,01,2013,01
14.01.2013 01:00:00.000,1.33771,1.33933,1.3272,1.3308799999999998,171061.6563,14,01,2013,01
15.01.2013 01:00:00.000,1.33089,1.33246,1.32565,1.32845,161785.5781,15,01,2013,01
16.01.2013 01:00:00.000,1.32845,1.33873,1.3269600000000001,1.33738,173479.5469,16,01,2013,01
17.01.2013 01:00:00.000,1.3373700000000002,1.3398,1.3280299999999998,1.3318,167559.0625,17,01,2013,01
18.01.2013 01:00:00.000,1.3318,1.3318,1.3318,1.3318,0.0,18,01,2013,01
19.01.2013 01:00:00.000,1.33107,1.33237,1.33066,1.33176,3996.71,19,01,2013,01
20.01.2013 01:00:00.000,1.33174,1.3331899999999999,1.32998,1.33095,90342.4922,20,01,2013,01
21.01.2013 01:00:00.000,1.3309600000000001,1.33712,1.3266799999999999,1.33125,180520.5625,21,01,2013,01
22.01.2013 01:00:00.000,1.3312700000000002,1.33542,1.32655,1.33067,149668.2813,22,01,2013,01
23.01.2013 01:00:00.000,1.3306799999999999,1.33925,1.32859,1.33674,181504.375,23,01,2013,01
24.01.2013 01:00:00.000,1.33674,1.34788,1.33497,1.3458700000000001,185772.2031,24,01,2013,01
25.01.2013 01:00:00.000,1.3458700000000001,1.3458700000000001,1.3458700000000001,1.3458700000000001,0.0,25,01,2013,01
26.01.2013 01:00:00.000,1.34651,1.34709,1.34531,1.34647,6648.7798,26,01,2013,01
27.01.2013 01:00:00.000,1.34647,1.34765,1.3424399999999999,1.34469,152347.2188,27,01,2013,01
28.01.2013 01:00:00.000,1.3447,1.34968,1.3414,1.34874,174499.6406,28,01,2013,01
29.01.2013 01:00:00.000,1.34874,1.3587,1.34817,1.3568200000000001,175367.4844,29,01,2013,01
30.01.2013 01:00:00.000,1.3568,1.36165,1.35408,1.36115,166226.0625,30,01,2013,01
31.01.2013 01:00:00.000,1.36115,1.3710799999999999,1.3586,1.36391,204622.9844,31,01,2013,01
01.02.2013 01:00:00.000,1.36391,1.36391,1.36391,1.36391,0.0,01,02,2013,01
02.02.2013 01:00:00.000,1.36521,1.36571,1.36449,1.36449,4513.7002,02,02,2013,01
03.02.2013 01:00:00.000,1.36448,1.36486,1.34988,1.35104,171325.625,03,02,2013,01
04.02.2013 01:00:00.000,1.35103,1.35972,1.3457700000000001,1.35825,197343.0469,04,02,2013,01
05.02.2013 01:00:00.000,1.35825,1.3595700000000002,1.34951,1.35218,181781.8438,05,02,2013,01
06.02.2013 01:00:00.000,1.35216,1.35769,1.3370600000000001,1.33827,203740.6563,06,02,2013,01
07.02.2013 01:00:00.000,1.33826,1.3428799999999999,1.33531,1.33665,160196.4063,07,02,2013,01
08.02.2013 01:00:00.000,1.33665,1.33665,1.33665,1.33665,0.0,08,02,2013,01
09.02.2013 01:00:00.000,1.33673,1.3374,1.33635,1.3366,6971.5801,09,02,2013,01
