Time,Open,High,Low,Close,Volume,Temp,Day,Month,Year,Hour
02.06.2013 02:00:00.000,1.29944,1.31074,1.29556,1.30704,214226.5156,02.06.2013 02:00:00.000,02,06,2013,02
03.06.2013 02:00:00.000,1.30702,1.3101200000000002,1.30418,1.30715,240402.25,03.06.2013 02:00:00.000,03,06,2013,02
04.06.2013 02:00:00.000,1.30714,1.31142,1.30529,1.30865,278373.4688,04.06.2013 02:00:00.000,04,06,2013,02
05.06.2013 02:00:00.000,1.30864,1.33054,1.30749,1.32423,319307.75,05.06.2013 02:00:00.000,05,06,2013,02
06.06.2013 02:00:00.000,1.32423,1.32846,1.31918,1.32187,297733.0,06.06.2013 02:00:00.000,06,06,2013,02
07.06.2013 02:00:00.000,1.32187,1.32187,1.32187,1.32187,0.0,07.06.2013 02:00:00.000,07,06,2013,02
08.06.2013 02:00:00.000,1.3190600000000001,1.32149,1.31851,1.3202399999999999,10306.9199,08.06.2013 02:00:00.000,08,06,2013,02
09.06.2013 02:00:00.000,1.3202399999999999,1.32689,1.31775,1.32528,237372.0469,09.06.2013 02:00:00.000,09,06,2013,02
10.06.2013 02:00:00.000,1.32528,1.3317299999999999,1.3232,1.33121,319573.125,10.06.2013 02:00:00.000,10,06,2013,02
11.06.2013 02:00:00.000,1.33122,1.33591,1.32655,1.33438,286381.0313,11.06.2013 02:00:00.000,11,06,2013,02
12.06.2013 02:00:00.000,1.33438,1.33902,1.32785,1.33586,313418.6875,12.06.2013 02:00:00.000,12,06,2013,02
13.06.2013 02:00:00.000,1.3358700000000001,1.33728,1.32948,1.33466,227949.8438,13.06.2013 02:00:00.000,13,06,2013,02
14.06.2013 02:00:00.000,1.33466,1.33466,1.33466,1.33466,0.0,14.06.2013 02:00:00.000,14,06,2013,02
15.06.2013 02:00:00.000,1.33476,1.33572,1.33431,1.33546,5692.9302,15.06.2013 02:00:00.000,15,06,2013,02
16.06.2013 02:00:00.000,1.33545,1.33815,1.33184,1.33619,169698.6406,16.06.2013 02:00:00.000,16,06,2013,02
17.06.2013 02:00:00.000,1.3362,1.34155,1.33255,1.3392899999999999,217458.3125,17.06.2013 02:00:00.000,17,06,2013,02
18.06.2013 02:00:00.000,1.3392899999999999,1.34155,1.3262,1.32817,186733.1719,18.06.2013 02:00:00.000,18,06,2013,02
19.06.2013 02:00:00.000,1.32817,1.33002,1.3161200000000002,1.32276,260295.125,19.06.2013 02:00:00.000,19,06,2013,02
20.06.2013 02:00:00.000,1.32277,1.32541,1.30985,1.31215,190081.7813,20.06.2013 02:00:00.000,20,06,2013,02
21.06.2013 02:00:00.000,1.31215,1.31215,1.31215,1.31215,0.0,21.06.2013 02:00:00.000,21,06,2013,02
22.06.2013 02:00:00.000,1.30912,1.31141,1.3088799999999998,1.31066,6891.7598,22.06.2013 02:00:00.000,22,06,2013,02
23.06.2013 02:00:00.000,1.31066,1.3143799999999999,1.3059,1.3135,198955.0625,23.06.2013 02:00:00.000,23,06,2013,02
24.06.2013 02:00:00.000,1.3135,1.3150600000000001,1.3065,1.3075299999999999,193152.125,24.06.2013 02:00:00.000,24,06,2013,02
25.06.2013 02:00:00.000,1.30755,1.3087,1.29849,1.30162,189861.0625,25.06.2013 02:00:00.000,25,06,2013,02
26.06.2013 02:00:00.000,1.30162,1.30546,1.3,1.30361,187477.4063,26.06.2013 02:00:00.000,26,06,2013,02
27.06.2013 02:00:00.000,1.3036299999999998,1.31029,1.29913,1.3009600000000001,184072.0938,27.06.2013 02:00:00.000,27,06,2013,02
28.06.2013 02:00:00.000,1.3009600000000001,1.3009600000000001,1.3009600000000001,1.3009600000000001,0.0,28.06.2013 02:00:00.000,28,06,2013,02
